task_id,type,plate_id,crane_id,start_seconds,finish_seconds
R_L1_P008064_P000242_142,relocate,P000242,C1,12015.0,12081.0
R_L1_P008064_P009350_143,relocate,P009350,C1,12081.0,12147.0
OUT_L1_P008064_40,outbound,P008064,C1,12147.0,12213.0
R_L1_P001963_P006778_144,relocate,P006778,C1,12213.0,12279.0
R_L1_P001963_P004091_145,relocate,P004091,C1,12279.0,12345.0
R_L1_P001963_P005143_146,relocate,P005143,C1,12345.0,12411.0
OUT_L1_P001963_41,outbound,P001963,C1,12411.0,12477.0
R_L1_P008278_P008538_147,relocate,P008538,C1,12477.0,12543.0
R_L1_P008278_P002212_148,relocate,P002212,C1,12543.0,12609.0
R_L1_P008278_P002912_149,relocate,P002912,C1,12609.0,12675.0
R_L1_P008278_P002356_150,relocate,P002356,C1,12675.0,12741.0
R_L1_P008278_P002269_151,relocate,P002269,C1,12741.0,12807.0
R_L1_P008278_P005287_152,relocate,P005287,C1,12807.0,12873.0
R_L1_P008278_P003128_153,relocate,P003128,C1,12873.0,12939.0
OUT_L1_P008278_42,outbound,P008278,C1,12939.0,13005.0
R_L1_P006199_P000873_154,relocate,P000873,C1,13005.0,13071.0
OUT_L1_P006199_43,outbound,P006199,C1,13071.0,13137.0
R_L1_P000228_P000734_155,relocate,P000734,C1,13137.0,13203.0
R_L1_P000228_P001843_156,relocate,P001843,C1,13203.0,13269.0
R_L1_P000228_P002342_157,relocate,P002342,C1,13269.0,13335.0
R_L1_P000228_P000822_158,relocate,P000822,C1,13335.0,13401.0
R_L1_P000228_P002778_159,relocate,P002778,C1,13401.0,13467.0
R_L1_P000228_P001607_160,relocate,P001607,C1,13467.0,13533.0
R_L1_P000228_P001997_161,relocate,P001997,C1,13533.0,13599.0
R_L1_P000228_P005845_162,relocate,P005845,C1,13599.0,13665.0
OUT_L1_P000228_44,outbound,P000228,C1,13665.0,13731.0
R_L1_P002752_P007293_163,relocate,P007293,C1,13731.0,13797.0
R_L1_P002752_P006102_164,relocate,P006102,C1,13797.0,13863.0
R_L1_P002752_P009541_165,relocate,P009541,C1,13863.0,13929.0
R_L1_P002752_P004824_166,relocate,P004824,C1,13929.0,13995.0
R_L1_P002752_P002278_167,relocate,P002278,C1,13995.0,14061.0
OUT_L1_P002752_45,outbound,P002752,C1,14061.0,14127.0
R_L1_P009415_P009560_168,relocate,P009560,C1,14127.0,14193.0
R_L1_P009415_P004867_169,relocate,P004867,C1,14193.0,14259.0
R_L1_P009415_P009121_170,relocate,P009121,C1,14259.0,14325.0
R_L1_P009415_P007114_171,relocate,P007114,C1,14325.0,14391.0
OUT_L1_P009415_46,outbound,P009415,C1,14391.0,14457.0
R_L1_P006361_P005057_172,relocate,P005057,C1,14457.0,14523.0
R_L1_P006361_P005063_173,relocate,P005063,C1,14523.0,14589.0
R_L1_P006361_P003596_174,relocate,P003596,C1,14589.0,14655.0
R_L1_P006361_P007299_175,relocate,P007299,C1,14655.0,14721.0
R_L1_P006361_P003467_176,relocate,P003467,C1,14721.0,14787.0
OUT_L1_P006361_47,outbound,P006361,C1,14787.0,14853.0
R_L1_P002338_P006471_177,relocate,P006471,C1,14853.0,14919.0
R_L1_P002338_P005291_178,relocate,P005291,C1,14919.0,14985.0
R_L1_P002338_P003429_179,relocate,P003429,C1,14985.0,15051.0
R_L1_P002338_P005812_180,relocate,P005812,C1,15051.0,15117.0
R_L1_P002338_P002919_181,relocate,P002919,C1,15117.0,15183.0
R_L1_P002338_P008918_182,relocate,P008918,C1,15183.0,15249.0
R_L1_P002338_P008577_183,relocate,P008577,C1,15249.0,15315.0
R_L1_P002338_P004845_184,relocate,P004845,C1,15315.0,15381.0
OUT_L1_P002338_48,outbound,P002338,C1,15381.0,15447.0
OUT_L1_P002992_49,outbound,P002992,C1,15492.0,15558.0
R_L1_P003682_P000775_185,relocate,P000775,C1,15558.0,15624.0
R_L1_P003682_P000285_186,relocate,P000285,C1,15624.0,15690.0
R_L1_P003682_P008704_187,relocate,P008704,C1,15690.0,15756.0
R_L1_P003682_P002143_188,relocate,P002143,C1,15756.0,15822.0
R_L1_P003682_P007899_189,relocate,P007899,C1,15822.0,15888.0
R_L1_P003682_P001223_190,relocate,P001223,C1,15888.0,15954.0
R_L1_P003682_P009806_191,relocate,P009806,C1,15954.0,16020.0
R_L1_P003682_P005805_192,relocate,P005805,C1,16020.0,16086.0
OUT_L1_P003682_50,outbound,P003682,C1,16086.0,16152.0
R_L1_P005431_P000471_193,relocate,P000471,C1,16152.0,16218.0
R_L1_P005431_P006436_194,relocate,P006436,C1,16218.0,16284.0
R_L1_P005431_P004431_195,relocate,P004431,C1,16284.0,16350.0
R_L1_P005431_P001228_196,relocate,P001228,C1,16350.0,16416.0
R_L1_P005431_P009651_197,relocate,P009651,C1,16416.0,16482.0
R_L1_P005431_P004675_198,relocate,P004675,C1,16482.0,16548.0
R_L1_P005431_P001520_199,relocate,P001520,C1,16548.0,16614.0
R_L1_P005431_P003411_200,relocate,P003411,C1,16614.0,16680.0
OUT_L1_P005431_51,outbound,P005431,C1,16680.0,16746.0
R_L1_P005445_P005980_201,relocate,P005980,C1,16746.0,16812.0
R_L1_P005445_P009540_202,relocate,P009540,C1,16812.0,16878.0
R_L1_P005445_P005526_203,relocate,P005526,C1,16878.0,16944.0
R_L1_P005445_P005743_204,relocate,P005743,C1,16944.0,17010.0
R_L1_P005445_P003168_205,relocate,P003168,C1,17010.0,17076.0
R_L1_P005445_P009741_206,relocate,P009741,C1,17076.0,17142.0
R_L1_P005445_P005606_207,relocate,P005606,C1,17142.0,17208.0
R_L1_P005445_P003209_208,relocate,P003209,C1,17208.0,17274.0
OUT_L1_P005445_52,outbound,P005445,C1,17274.0,17340.0
R_L1_P001218_P009141_209,relocate,P009141,C1,17340.0,17406.0
R_L1_P001218_P005445_210,relocate,P005445,C1,17406.0,17472.0
OUT_L1_P001218_53,outbound,P001218,C1,17472.0,17538.0
R_L1_P005593_P007151_211,relocate,P007151,C1,17538.0,17604.0
R_L1_P005593_P007226_212,relocate,P007226,C1,17604.0,17670.0
R_L1_P005593_P005108_213,relocate,P005108,C1,17670.0,17736.0
R_L1_P005593_P003043_214,relocate,P003043,C1,17736.0,17802.0
R_L1_P005593_P008850_215,relocate,P008850,C1,17802.0,17868.0
R_L1_P005593_P004926_216,relocate,P004926,C1,17868.0,17934.0
R_L1_P005593_P002561_217,relocate,P002561,C1,17934.0,18000.0
R_L1_P005593_P001766_218,relocate,P001766,C1,18000.0,18066.0
OUT_L1_P005593_54,outbound,P005593,C1,18066.0,18132.0
R_L1_P008386_P000435_219,relocate,P000435,C1,18132.0,18198.0
R_L1_P008386_P007529_220,relocate,P007529,C1,18198.0,18264.0
R_L1_P008386_P004198_221,relocate,P004198,C1,18264.0,18330.0
R_L1_P008386_P000870_222,relocate,P000870,C1,18330.0,18396.0
R_L1_P008386_P007315_223,relocate,P007315,C1,18396.0,18462.0
OUT_L1_P008386_55,outbound,P008386,C1,18462.0,18528.0
OUT_L1_P001452_56,outbound,P001452,C1,18573.0,18639.0
R_L1_P005854_P008413_224,relocate,P008413,C1,18639.0,18705.0
R_L1_P005854_P009496_225,relocate,P009496,C1,18705.0,18771.0
R_L1_P005854_P008752_226,relocate,P008752,C1,18771.0,18837.0
R_L1_P005854_P002878_227,relocate,P002878,C1,18837.0,18903.0
R_L1_P005854_P002957_228,relocate,P002957,C1,18903.0,18969.0
R_L1_P005854_P000455_229,relocate,P000455,C1,18969.0,19035.0
R_L1_P005854_P009764_230,relocate,P009764,C1,19035.0,19101.0
R_L1_P005854_P007809_231,relocate,P007809,C1,19101.0,19167.0
OUT_L1_P005854_57,outbound,P005854,C1,19167.0,19233.0
R_L1_P008546_P001526_232,relocate,P001526,C1,19233.0,19299.0
R_L1_P008546_P001306_233,relocate,P001306,C1,19299.0,19365.0
R_L1_P008546_P007420_234,relocate,P007420,C1,19365.0,19431.0
OUT_L1_P008546_58,outbound,P008546,C1,19431.0,19497.0
R_L1_P001198_P005786_235,relocate,P005786,C1,19497.0,19563.0
R_L1_P001198_P002898_236,relocate,P002898,C1,19563.0,19629.0
R_L1_P001198_P005140_237,relocate,P005140,C1,19629.0,19695.0
OUT_L1_P001198_59,outbound,P001198,C1,19695.0,19761.0
R_L1_P004398_P006539_238,relocate,P006539,C1,19761.0,19827.0
R_L1_P004398_P006291_239,relocate,P006291,C1,19827.0,19893.0
R_L1_P004398_P008842_240,relocate,P008842,C1,19893.0,19959.0
R_L1_P004398_P006447_241,relocate,P006447,C1,19959.0,20025.0
R_L1_P004398_P009604_242,relocate,P009604,C1,20025.0,20091.0
R_L1_P004398_P009041_243,relocate,P009041,C1,20091.0,20157.0
R_L1_P004398_P001371_244,relocate,P001371,C1,20157.0,20223.0
R_L1_P004398_P003575_245,relocate,P003575,C1,20223.0,20289.0
OUT_L1_P004398_60,outbound,P004398,C1,20289.0,20355.0
R_L1_P005870_P005266_246,relocate,P005266,C1,20355.0,20421.0
R_L1_P005870_P003533_247,relocate,P003533,C1,20421.0,20487.0
R_L1_P005870_P007305_248,relocate,P007305,C1,20487.0,20553.0
R_L1_P005870_P007228_249,relocate,P007228,C1,20553.0,20619.0
R_L1_P005870_P006027_250,relocate,P006027,C1,20619.0,20685.0
R_L1_P005870_P007748_251,relocate,P007748,C1,20685.0,20751.0
R_L1_P005870_P005171_252,relocate,P005171,C1,20751.0,20817.0
R_L1_P005870_P009443_253,relocate,P009443,C1,20817.0,20883.0
OUT_L1_P005870_61,outbound,P005870,C1,20883.0,20949.0
R_L1_P002165_P003149_254,relocate,P003149,C1,20949.0,21015.0
R_L1_P002165_P002102_255,relocate,P002102,C1,21015.0,21081.0
R_L1_P002165_P005587_256,relocate,P005587,C1,21081.0,21147.0
R_L1_P002165_P002562_257,relocate,P002562,C1,21147.0,21213.0
OUT_L1_P002165_62,outbound,P002165,C1,21213.0,21279.0
R_L1_P007975_P008809_258,relocate,P008809,C1,21279.0,21345.0
R_L1_P007975_P003860_259,relocate,P003860,C1,21345.0,21411.0
R_L1_P007975_P005844_260,relocate,P005844,C1,21411.0,21477.0
R_L1_P007975_P006969_261,relocate,P006969,C1,21477.0,21543.0
R_L1_P007975_P009872_262,relocate,P009872,C1,21543.0,21609.0
R_L1_P007975_P005951_263,relocate,P005951,C1,21609.0,21675.0
R_L1_P007975_P007258_264,relocate,P007258,C1,21675.0,21741.0
R_L1_P007975_P009453_265,relocate,P009453,C1,21741.0,21807.0
OUT_L1_P007975_63,outbound,P007975,C1,21807.0,21873.0
R_L1_P002222_P005908_266,relocate,P005908,C1,21873.0,21939.0
R_L1_P002222_P008562_267,relocate,P008562,C1,21939.0,22005.0
R_L1_P002222_P007850_268,relocate,P007850,C1,22005.0,22071.0
R_L1_P002222_P002684_269,relocate,P002684,C1,22071.0,22137.0
R_L1_P002222_P004479_270,relocate,P004479,C1,22137.0,22203.0
R_L1_P002222_P003183_271,relocate,P003183,C1,22203.0,22269.0
R_L1_P002222_P007631_272,relocate,P007631,C1,22269.0,22335.0
R_L1_P002222_P005011_273,relocate,P005011,C1,22335.0,22401.0
R_L1_P002222_P004703_274,relocate,P004703,C1,22401.0,22467.0
OUT_L1_P002222_64,outbound,P002222,C1,22467.0,22533.0
R_L1_P002389_P003621_275,relocate,P003621,C1,22533.0,22599.0
R_L1_P002389_P001177_276,relocate,P001177,C1,22599.0,22665.0
R_L1_P002389_P007047_277,relocate,P007047,C1,22665.0,22731.0
R_L1_P002389_P005364_278,relocate,P005364,C1,22731.0,22797.0
R_L1_P002389_P004771_279,relocate,P004771,C1,22797.0,22863.0
R_L1_P002389_P005009_280,relocate,P005009,C1,22863.0,22929.0
R_L1_P002389_P004698_281,relocate,P004698,C1,22929.0,22995.0
R_L1_P002389_P000889_282,relocate,P000889,C1,22995.0,23061.0
R_L1_P002389_P001191_283,relocate,P001191,C1,23061.0,23127.0
OUT_L1_P002389_65,outbound,P002389,C1,23127.0,23193.0
R_L1_P000167_P004981_284,relocate,P004981,C1,23193.0,23259.0
R_L1_P000167_P006666_285,relocate,P006666,C1,23259.0,23325.0
OUT_L1_P000167_66,outbound,P000167,C1,23325.0,23391.0
R_L1_P009382_P007799_286,relocate,P007799,C1,23391.0,23457.0
R_L1_P009382_P000719_287,relocate,P000719,C1,23457.0,23523.0
R_L1_P009382_P004523_288,relocate,P004523,C1,23523.0,23589.0
OUT_L1_P009382_67,outbound,P009382,C1,23589.0,23655.0
R_L1_P003140_P006335_289,relocate,P006335,C1,23655.0,23721.0
R_L1_P003140_P000985_290,relocate,P000985,C1,23721.0,23787.0
R_L1_P003140_P001276_291,relocate,P001276,C1,23787.0,23853.0
R_L1_P003140_P009570_292,relocate,P009570,C1,23853.0,23919.0
R_L1_P003140_P008846_293,relocate,P008846,C1,23919.0,23985.0
R_L1_P003140_P004699_294,relocate,P004699,C1,23985.0,24051.0
R_L1_P003140_P005088_295,relocate,P005088,C1,24051.0,24117.0
R_L1_P003140_P005003_296,relocate,P005003,C1,24117.0,24183.0
R_L1_P003140_P002345_297,relocate,P002345,C1,24183.0,24249.0
OUT_L1_P003140_68,outbound,P003140,C1,24249.0,24315.0
R_L1_P005850_P006467_298,relocate,P006467,C1,24315.0,24381.0
R_L1_P005850_P005494_299,relocate,P005494,C1,24381.0,24447.0
R_L1_P005850_P008581_300,relocate,P008581,C1,24447.0,24513.0
R_L1_P005850_P007647_301,relocate,P007647,C1,24513.0,24579.0
R_L1_P005850_P006079_302,relocate,P006079,C1,24579.0,24645.0
R_L1_P005850_P006320_303,relocate,P006320,C1,24645.0,24711.0
R_L1_P005850_P006200_304,relocate,P006200,C1,24711.0,24777.0
R_L1_P005850_P001684_305,relocate,P001684,C1,24777.0,24843.0
R_L1_P005850_P003144_306,relocate,P003144,C1,24843.0,24909.0
