cutting_line_id,seq_no,plate_id,eta_seconds,start_seconds,finish_seconds
L1,169,P002922,80643.0,80643.0,80709.0
L1,170,P009006,81369.0,81369.0,81435.0
L1,171,P004349,82029.0,82029.0,82095.0
L1,172,P007708,82161.0,82161.0,82227.0
L1,173,P003448,83151.0,83151.0,83217.0
L1,174,P009712,83349.0,83349.0,83415.0
L1,175,P000901,83613.0,83613.0,83679.0
L1,176,P004834,83877.0,83877.0,83943.0
L1,177,P001727,83988.0,83988.0,84054.0
L1,178,P008185,84384.0,84384.0,84450.0
L1,179,P008759,84714.0,84714.0,84780.0
L1,180,P001539,85308.0,85308.0,85374.0
L1,181,P001060,85968.0,85968.0,86034.0
L1,182,P003288,86298.0,86298.0,86364.0
L1,183,P004467,86892.0,86892.0,86958.0
L1,184,P004196,87288.0,87288.0,87354.0
L1,185,P000610,88080.0,88080.0,88146.0
L1,186,P007457,88938.0,88938.0,89004.0
L1,187,P004512,89202.0,89202.0,89268.0
L1,188,P001465,89313.0,89313.0,89379.0
L1,189,P000301,89424.0,89424.0,89490.0
L1,190,P004423,90414.0,90414.0,90480.0
L1,191,P005210,91404.0,91404.0,91470.0
L1,192,P003061,91932.0,91932.0,91998.0
L1,193,P001561,92394.0,92394.0,92460.0
L1,194,P002705,92658.0,92658.0,92724.0
L1,195,P002658,93516.0,93516.0,93582.0
L1,196,P004902,93978.0,93978.0,94044.0
L1,197,P006676,94836.0,94836.0,94902.0
L1,198,P006214,95034.0,95034.0,95100.0
L1,199,P009114,95232.0,95232.0,95298.0
L1,200,P005616,95430.0,95430.0,95496.0
L1,201,P005490,96354.0,96354.0,96420.0
L1,202,P004131,97212.0,97212.0,97278.0
L1,203,P000698,97323.0,97323.0,97389.0
L1,204,P005797,98313.0,98313.0,98379.0
L1,205,P005893,99303.0,99303.0,99369.0
L1,206,P000724,99765.0,99765.0,99831.0
L1,207,P007391,100227.0,100227.0,100293.0
L1,208,P009792,100689.0,100689.0,100755.0
L1,209,P007514,100953.0,100953.0,101019.0
L1,210,P001063,101679.0,101679.0,101745.0
L1,211,P009546,102075.0,102075.0,102141.0
L1,212,P001037,102669.0,102669.0,102735.0
L1,213,P002625,103527.0,103527.0,103593.0
L1,214,P003813,103638.0,103638.0,103704.0
L1,215,P002726,103770.0,103770.0,103836.0
L1,216,P007202,104760.0,104760.0,104826.0
L1,217,P008618,104871.0,104871.0,104937.0
L1,218,P009427,105597.0,105597.0,105663.0
L1,219,P008921,105993.0,105993.0,106059.0
L1,220,P007274,106983.0,106983.0,107049.0
L1,221,P004323,107181.0,107181.0,107247.0
L1,222,P007655,107709.0,107709.0,107775.0
L1,223,P002361,107820.0,107820.0,107886.0
L1,224,P000161,108612.0,108612.0,108678.0
L1,225,P005765,109470.0,109470.0,109536.0
L1,226,P008953,109602.0,109602.0,109668.0
L1,227,P003008,109932.0,109932.0,109998.0
L1,228,P001909,110328.0,110328.0,110394.0
L1,229,P009896,110526.0,110526.0,110592.0
L1,230,P002416,111054.0,111054.0,111120.0
L1,231,P005516,111846.0,111846.0,111912.0
L1,232,P006996,112044.0,112044.0,112110.0
L1,233,P007686,112440.0,112440.0,112506.0
L1,234,P006705,112551.0,112551.0,112617.0
