task_id,type,plate_id,crane_id,start_seconds,finish_seconds
R_L1_P008080_P003326_40,relocate,P003326,C1,8844.0,8910.0
OUT_L1_P008080_96,outbound,P008080,C1,8910.0,8976.0
R_L1_P005969_P000781_41,relocate,P000781,C1,8976.0,9042.0
OUT_L1_P005969_97,outbound,P005969,C1,9042.0,9108.0
R_L1_P002421_P005969_42,relocate,P005969,C1,9108.0,9174.0
OUT_L1_P002421_98,outbound,P002421,C1,9174.0,9240.0
R_L1_P008612_P007291_43,relocate,P007291,C1,9240.0,9306.0
OUT_L1_P008612_99,outbound,P008612,C1,9306.0,9372.0
R_L1_P005376_P004314_44,relocate,P004314,C1,9372.0,9438.0
OUT_L1_P005376_100,outbound,P005376,C1,9438.0,9504.0
R_L1_P005161_P005806_45,relocate,P005806,C1,9504.0,9570.0
OUT_L1_P005161_101,outbound,P005161,C1,9570.0,9636.0
R_L1_P008110_P005972_46,relocate,P005972,C1,9636.0,9702.0
OUT_L1_P008110_102,outbound,P008110,C1,9702.0,9768.0
R_L1_P006072_P002105_47,relocate,P002105,C1,9768.0,9834.0
OUT_L1_P006072_103,outbound,P006072,C1,9834.0,9900.0
R_L1_P003887_P006072_48,relocate,P006072,C1,9900.0,9966.0
OUT_L1_P003887_104,outbound,P003887,C1,9966.0,10032.0
R_L1_P004130_P001739_49,relocate,P001739,C1,10032.0,10098.0
OUT_L1_P004130_105,outbound,P004130,C1,10098.0,10164.0
R_L1_P005977_P001762_50,relocate,P001762,C1,10164.0,10230.0
OUT_L1_P005977_106,outbound,P005977,C1,10230.0,10296.0
R_L1_P006006_P007193_51,relocate,P007193,C1,10296.0,10362.0
OUT_L1_P006006_107,outbound,P006006,C1,10362.0,10428.0
R_L1_P009587_P006006_52,relocate,P006006,C1,10428.0,10494.0
OUT_L1_P009587_108,outbound,P009587,C1,10494.0,10560.0
R_L1_P001919_P005871_53,relocate,P005871,C1,10560.0,10626.0
OUT_L1_P001919_109,outbound,P001919,C1,10626.0,10692.0
R_L1_P008101_P001919_54,relocate,P001919,C1,10692.0,10758.0
OUT_L1_P008101_110,outbound,P008101,C1,10758.0,10824.0
R_L1_P002731_P003640_55,relocate,P003640,C1,10824.0,10890.0
OUT_L1_P002731_111,outbound,P002731,C1,10890.0,10956.0
R_L1_P000707_P008096_56,relocate,P008096,C1,10956.0,11022.0
OUT_L1_P000707_112,outbound,P000707,C1,11022.0,11088.0
R_L1_P005346_P002427_57,relocate,P002427,C1,11088.0,11154.0
OUT_L1_P005346_113,outbound,P005346,C1,11154.0,11220.0
R_L1_P001545_P005346_58,relocate,P005346,C1,11220.0,11286.0
OUT_L1_P001545_114,outbound,P001545,C1,11286.0,11352.0
R_L1_P009515_P003706_59,relocate,P003706,C1,11352.0,11418.0
OUT_L1_P009515_115,outbound,P009515,C1,11418.0,11484.0
R_L1_P006020_P002915_60,relocate,P002915,C1,11484.0,11550.0
OUT_L1_P006020_116,outbound,P006020,C1,11550.0,11616.0
R_L1_P008894_P002037_61,relocate,P002037,C1,11616.0,11682.0
OUT_L1_P008894_117,outbound,P008894,C1,11682.0,11748.0
R_L1_P006311_P001165_62,relocate,P001165,C1,11748.0,11814.0
OUT_L1_P006311_118,outbound,P006311,C1,11814.0,11880.0
R_L1_P000927_P000494_63,relocate,P000494,C1,11880.0,11946.0
OUT_L1_P000927_119,outbound,P000927,C1,11946.0,12012.0
R_L1_P001152_P008147_64,relocate,P008147,C1,12012.0,12078.0
OUT_L1_P001152_120,outbound,P001152,C1,12078.0,12144.0
R_L1_P007501_P009615_65,relocate,P009615,C1,12144.0,12210.0
OUT_L1_P007501_121,outbound,P007501,C1,12210.0,12276.0
R_L1_P002249_P000319_66,relocate,P000319,C1,12276.0,12342.0
OUT_L1_P002249_122,outbound,P002249,C1,12342.0,12408.0
R_L1_P003282_P006434_67,relocate,P006434,C1,12408.0,12474.0
OUT_L1_P003282_123,outbound,P003282,C1,12474.0,12540.0
R_L1_P001518_P003282_68,relocate,P003282,C1,12540.0,12606.0
OUT_L1_P001518_124,outbound,P001518,C1,12606.0,12672.0
R_L1_P005802_P003389_69,relocate,P003389,C1,12672.0,12738.0
OUT_L1_P005802_125,outbound,P005802,C1,12738.0,12804.0
R_L1_P007668_P005802_70,relocate,P005802,C1,12804.0,12870.0
OUT_L1_P007668_126,outbound,P007668,C1,12870.0,12936.0
R_L1_P002965_P003256_71,relocate,P003256,C1,12936.0,13002.0
OUT_L1_P002965_127,outbound,P002965,C1,13002.0,13068.0
R_L1_P000730_P005804_72,relocate,P005804,C1,13068.0,13134.0
OUT_L1_P000730_128,outbound,P000730,C1,13134.0,13200.0
R_L1_P003489_P001316_73,relocate,P001316,C1,13200.0,13266.0
R_L1_P003489_P001518_74,relocate,P001518,C1,13266.0,13332.0
OUT_L1_P003489_129,outbound,P003489,C1,13332.0,13398.0
R_L1_P008870_P001003_75,relocate,P001003,C1,13398.0,13464.0
R_L1_P008870_P003887_76,relocate,P003887,C1,13464.0,13530.0
OUT_L1_P008870_130,outbound,P008870,C1,13530.0,13596.0
R_L1_P001678_P000703_77,relocate,P000703,C1,13596.0,13662.0
R_L1_P001678_P003532_78,relocate,P003532,C1,13662.0,13728.0
OUT_L1_P001678_131,outbound,P001678,C1,13728.0,13794.0
R_L1_P005818_P007464_79,relocate,P007464,C1,13794.0,13860.0
R_L1_P005818_P009038_80,relocate,P009038,C1,13860.0,13926.0
OUT_L1_P005818_132,outbound,P005818,C1,13926.0,13992.0
R_L1_P002441_P006821_81,relocate,P006821,C1,13992.0,14058.0
R_L1_P002441_P005818_82,relocate,P005818,C1,14058.0,14124.0
OUT_L1_P002441_133,outbound,P002441,C1,14124.0,14190.0
R_L1_P008672_P006051_83,relocate,P006051,C1,14190.0,14256.0
R_L1_P008672_P002131_84,relocate,P002131,C1,14256.0,14322.0
OUT_L1_P008672_134,outbound,P008672,C1,14322.0,14388.0
