cutting_line_id,seq_no,plate_id,eta_seconds,start_seconds,finish_seconds
L1,285,P004573,47916.0,47916.0,47982.0
L1,286,P007686,48246.0,48246.0,48312.0
L1,287,P006921,48576.0,48576.0,48642.0
L1,288,P006679,48906.0,48906.0,48972.0
L1,289,P007655,49236.0,49236.0,49302.0
L1,290,P006326,49566.0,49566.0,49632.0
L1,291,P009760,49896.0,49896.0,49962.0
L1,292,P000708,50226.0,50226.0,50292.0
L1,293,P000483,50556.0,50556.0,50622.0
L1,294,P000334,50886.0,50886.0,50952.0
L1,295,P001904,51216.0,51216.0,51282.0
L1,296,P003002,51546.0,51546.0,51612.0
L1,297,P001209,51744.0,51744.0,51810.0
L1,298,P003720,52074.0,52074.0,52140.0
L1,299,P009901,52338.0,52338.0,52404.0
L1,300,P005081,52668.0,52668.0,52734.0
L1,301,P007050,52998.0,52998.0,53064.0
L1,302,P009457,53328.0,53328.0,53394.0
L1,303,P007212,53658.0,53658.0,53724.0
L1,304,P001442,53988.0,53988.0,54054.0
L1,305,P008849,54120.0,54120.0,54186.0
L1,306,P006632,54252.0,54252.0,54318.0
L1,307,P004122,54516.0,54516.0,54582.0
L1,308,P007439,54648.0,54648.0,54714.0
L1,309,P008008,54912.0,54912.0,54978.0
L1,310,P009822,55176.0,55176.0,55242.0
L1,311,P007472,55506.0,55506.0,55572.0
L1,312,P000692,55836.0,55836.0,55902.0
L1,313,P002907,56166.0,56166.0,56232.0
L1,314,P007053,56496.0,56496.0,56562.0
L1,315,P001759,56826.0,56826.0,56892.0
L1,316,P003190,57156.0,57156.0,57222.0
L1,317,P003475,57288.0,57288.0,57354.0
L1,318,P009978,57486.0,57486.0,57552.0
L1,319,P006900,57816.0,57816.0,57882.0
L1,320,P001853,58146.0,58146.0,58212.0
L1,321,P002893,58476.0,58476.0,58542.0
L1,322,P009519,58806.0,58806.0,58872.0
L1,323,P008751,59136.0,59136.0,59202.0
L1,324,P002115,59466.0,59466.0,59532.0
L1,325,P008598,59796.0,59796.0,59862.0
L1,326,P001060,60126.0,60126.0,60192.0
L1,327,P002313,60456.0,60456.0,60522.0
L1,328,P003923,60786.0,60786.0,60852.0
L1,329,P003046,60984.0,60984.0,61050.0
L1,330,P006394,61314.0,61314.0,61380.0
L1,331,P002256,61644.0,61644.0,61710.0
L1,332,P009707,61974.0,61974.0,62040.0
L1,333,P002823,62304.0,62304.0,62370.0
L1,334,P004004,62634.0,62634.0,62700.0
L1,335,P006463,62964.0,62964.0,63030.0
L1,336,P004278,63294.0,63294.0,63360.0
L1,337,P003096,63426.0,63426.0,63492.0
L1,338,P009415,63756.0,63756.0,63822.0
L1,339,P008898,63888.0,63888.0,63954.0
L1,340,P006310,64218.0,64218.0,64284.0
L1,341,P008474,64548.0,64548.0,64614.0
L1,342,P004086,64878.0,64878.0,64944.0
L1,343,P004526,65208.0,65208.0,65274.0
L1,344,P009140,65538.0,65538.0,65604.0
L1,345,P002198,65868.0,65868.0,65934.0
L1,346,P002913,66198.0,66198.0,66264.0
L1,347,P006521,66528.0,66528.0,66594.0
L1,348,P001178,66858.0,66858.0,66924.0
L1,349,P002948,67056.0,67056.0,67122.0
L1,350,P001404,67386.0,67386.0,67452.0
