cutting_line_id,seq_no,plate_id,eta_seconds,start_seconds,finish_seconds
L1,256,P000266,131208.0,131208.0,131274.0
L1,257,P001716,131340.0,131340.0,131406.0
L1,258,P007137,132396.0,132396.0,132462.0
L1,259,P007004,132726.0,132726.0,132792.0
L1,260,P003327,132858.0,132858.0,132924.0
L1,261,P004578,133848.0,133848.0,133914.0
L1,262,P003205,134112.0,134112.0,134178.0
L1,263,P003482,134574.0,134574.0,134640.0
L1,264,P003070,134640.0,134640.0,134706.0
L1,265,P004281,135168.0,135168.0,135234.0
L1,266,P003847,135828.0,135828.0,135894.0
L1,267,P006128,135894.0,135894.0,135960.0
L1,268,P007483,136290.0,136290.0,136356.0
L1,269,P000077,136554.0,136554.0,136620.0
L1,270,P006609,137610.0,137610.0,137676.0
L1,271,P001776,137676.0,137676.0,137742.0
L1,272,P001721,137742.0,137742.0,137808.0
L1,273,P002927,137808.0,137808.0,137874.0
L1,274,P003665,138864.0,138864.0,138930.0
L1,275,P001634,139854.0,139854.0,139920.0
L1,276,P003458,140580.0,140580.0,140646.0
L1,277,P000992,140646.0,140646.0,140712.0
L1,278,P005903,140778.0,140778.0,140844.0
L1,279,P004151,141438.0,141438.0,141504.0
L1,280,P005041,142494.0,142494.0,142560.0
L1,281,P001774,142692.0,142692.0,142758.0
L1,282,P007293,142758.0,142758.0,142824.0
L1,283,P005167,142824.0,142824.0,142890.0
L1,284,P001693,143088.0,143088.0,143154.0
L1,285,P006324,143682.0,143682.0,143748.0
L1,286,P000222,143880.0,143880.0,143946.0
L1,287,P006477,143946.0,143946.0,144012.0
L1,288,P003825,145002.0,145002.0,145068.0
L1,289,P005957,145794.0,145794.0,145860.0
L1,290,P001041,146850.0,146850.0,146916.0
L1,291,P003398,147048.0,147048.0,147114.0
L1,292,P003091,147972.0,147972.0,148038.0
L1,293,P006310,148698.0,148698.0,148764.0
L1,294,P001254,149226.0,149226.0,149292.0
L1,295,P000906,149688.0,149688.0,149754.0
L1,296,P007010,150546.0,150546.0,150612.0
L1,297,P001974,151272.0,151272.0,151338.0
L1,298,P006620,151338.0,151338.0,151404.0
L1,299,P001522,152328.0,152328.0,152394.0
L1,300,P002400,152394.0,152394.0,152460.0
L1,301,P004366,152460.0,152460.0,152526.0
L1,302,P005885,152526.0,152526.0,152592.0
L1,303,P002488,153120.0,153120.0,153186.0
L1,304,P003352,153648.0,153648.0,153714.0
L1,305,P004618,154110.0,154110.0,154176.0
L1,306,P004235,154176.0,154176.0,154242.0
L1,307,P001339,154572.0,154572.0,154638.0
L1,308,P000503,154638.0,154638.0,154704.0
L1,309,P006839,155298.0,155298.0,155364.0
L1,310,P000172,155364.0,155364.0,155430.0
L1,311,P002108,155430.0,155430.0,155496.0
L1,312,P001029,155760.0,155760.0,155826.0
L1,313,P006170,155826.0,155826.0,155892.0
L1,314,P000999,155892.0,155892.0,155958.0
L1,315,P006533,156684.0,156684.0,156750.0
L1,316,P003823,156816.0,156816.0,156882.0
L1,317,P005609,157344.0,157344.0,157410.0
L1,318,P002350,157542.0,157542.0,157608.0
L1,319,P004182,158268.0,158268.0,158334.0
L1,320,P001000,158334.0,158334.0,158400.0
L1,321,P002916,159060.0,159060.0,159126.0
L1,322,P004650,159522.0,159522.0,159588.0
L1,323,P007219,160446.0,160446.0,160512.0
L1,324,P005202,161436.0,161436.0,161502.0
L1,325,P000782,161634.0,161634.0,161700.0
L1,326,P004903,161700.0,161700.0,161766.0
L1,327,P005715,161898.0,161898.0,161964.0
L1,328,P004342,162624.0,162624.0,162690.0
L1,329,P001089,163284.0,163284.0,163350.0
L1,330,P004568,163878.0,163878.0,163944.0
L1,331,P006292,164736.0,164736.0,164802.0
L1,332,P002728,165330.0,165330.0,165396.0
L1,333,P002586,165594.0,165594.0,165660.0
L1,334,P003752,165660.0,165660.0,165726.0
L1,335,P001771,165924.0,165924.0,165990.0
L1,336,P002490,165990.0,165990.0,166056.0
L1,337,P006377,166518.0,166518.0,166584.0
L1,338,P000089,166584.0,166584.0,166650.0
L1,339,P002987,166980.0,166980.0,167046.0
L1,340,P001059,167112.0,167112.0,167178.0
L1,341,P007414,167838.0,167838.0,167904.0
L1,342,P000536,168102.0,168102.0,168168.0
L1,343,P000035,168366.0,168366.0,168432.0
L1,344,P003835,168432.0,168432.0,168498.0
L1,345,P006428,168762.0,168762.0,168828.0
L1,346,P001142,169488.0,169488.0,169554.0
L1,347,P003126,170214.0,170214.0,170280.0
L1,348,P002719,170280.0,170280.0,170346.0
L1,349,P005712,170346.0,170346.0,170412.0
L1,350,P004434,171336.0,171336.0,171402.0
L1,351,P005899,171666.0,171666.0,171732.0
