task_id,type,plate_id,crane_id,start_seconds,finish_seconds
R_L1_P003026_P003031_2404,relocate,P003031,C1,184008.0,184074.0
R_L1_P003026_P003032_2405,relocate,P003032,C1,184074.0,184140.0
R_L1_P003026_P003033_2406,relocate,P003033,C1,184140.0,184206.0
R_L1_P003026_P003034_2407,relocate,P003034,C1,184206.0,184272.0
OUT_L1_P003026_386,outbound,P003026,C1,184272.0,184338.0
OUT_L1_P001807_387,outbound,P001807,C1,184338.0,184404.0
R_L1_P006628_P006629_2408,relocate,P006629,C1,184404.0,184470.0
R_L1_P006628_P006630_2409,relocate,P006630,C1,184470.0,184536.0
R_L1_P006628_P006631_2410,relocate,P006631,C1,184536.0,184602.0
R_L1_P006628_P006632_2411,relocate,P006632,C1,184602.0,184668.0
R_L1_P006628_P006633_2412,relocate,P006633,C1,184668.0,184734.0
R_L1_P006628_P006634_2413,relocate,P006634,C1,184734.0,184800.0
R_L1_P006628_P006635_2414,relocate,P006635,C1,184800.0,184866.0
R_L1_P006628_P006636_2415,relocate,P006636,C1,184866.0,184932.0
R_L1_P006628_P006637_2416,relocate,P006637,C1,184932.0,184998.0
R_L1_P006628_P006638_2417,relocate,P006638,C1,184998.0,185064.0
R_L1_P006628_P006639_2418,relocate,P006639,C1,185064.0,185130.0
R_L1_P006628_P006640_2419,relocate,P006640,C1,185130.0,185196.0
OUT_L1_P006628_388,outbound,P006628,C1,185196.0,185262.0
R_L1_P002802_P002803_2420,relocate,P002803,C1,185262.0,185328.0
R_L1_P002802_P002804_2421,relocate,P002804,C1,185328.0,185394.0
R_L1_P002802_P002805_2422,relocate,P002805,C1,185394.0,185460.0
R_L1_P002802_P002806_2423,relocate,P002806,C1,185460.0,185526.0
R_L1_P002802_P002807_2424,relocate,P002807,C1,185526.0,185592.0
R_L1_P002802_P002808_2425,relocate,P002808,C1,185592.0,185658.0
R_L1_P002802_P002809_2426,relocate,P002809,C1,185658.0,185724.0
R_L1_P002802_P002810_2427,relocate,P002810,C1,185724.0,185790.0
R_L1_P002802_P002811_2428,relocate,P002811,C1,185790.0,185856.0
R_L1_P002802_P002812_2429,relocate,P002812,C1,185856.0,185922.0
R_L1_P002802_P002813_2430,relocate,P002813,C1,185922.0,185988.0
R_L1_P002802_P002814_2431,relocate,P002814,C1,185988.0,186054.0
R_L1_P002802_P002815_2432,relocate,P002815,C1,186054.0,186120.0
R_L1_P002802_P002816_2433,relocate,P002816,C1,186120.0,186186.0
OUT_L1_P002802_389,outbound,P002802,C1,186186.0,186252.0
R_L1_P005299_P005300_2434,relocate,P005300,C1,186252.0,186318.0
R_L1_P005299_P005301_2435,relocate,P005301,C1,186318.0,186384.0
R_L1_P005299_P005302_2436,relocate,P005302,C1,186384.0,186450.0
R_L1_P005299_P005303_2437,relocate,P005303,C1,186450.0,186516.0
R_L1_P005299_P005304_2438,relocate,P005304,C1,186516.0,186582.0
R_L1_P005299_P005305_2439,relocate,P005305,C1,186582.0,186648.0
R_L1_P005299_P005306_2440,relocate,P005306,C1,186648.0,186714.0
R_L1_P005299_P005307_2441,relocate,P005307,C1,186714.0,186780.0
R_L1_P005299_P005308_2442,relocate,P005308,C1,186780.0,186846.0
R_L1_P005299_P005309_2443,relocate,P005309,C1,186846.0,186912.0
R_L1_P005299_P005310_2444,relocate,P005310,C1,186912.0,186978.0
R_L1_P005299_P005311_2445,relocate,P005311,C1,186978.0,187044.0
R_L1_P005299_P005312_2446,relocate,P005312,C1,187044.0,187110.0
OUT_L1_P005299_390,outbound,P005299,C1,187110.0,187176.0
OUT_L1_P000328_391,outbound,P000328,C1,187176.0,187242.0
R_L1_P001621_P001622_2447,relocate,P001622,C1,187242.0,187308.0
